Key,Portuguese,English
HowToPlay.0,Acessar Seleção de personagens (1). Acessar o Menu de Como Jogar (2). Acessar o Menu de Dicas (3) - teoria musical e inimigos. Acessar o Menu de Pergaminhos (4) - poderes dos personagens. Acessar o Menu de Configurações (5). Assistir Créditos (6),Open Character Selection (1). Open How to Play Menu (2). Open Tips Menu (3) - music theory and enemies. Open Scrolls Menu (4) - character's special powers. Open Options Menu (5). Watch Credits (6).
HowToPlay.1,"Ao clicar na personagem, você irá iniciar uma nova partida. Abaixo do rosto da personagem, você encontra o nome, após, o nível e por fim a quantidade de experiência atual e necessário para subir de nível. O nível máximo da personagem é 10. Você vence caso derrote o Chefão Final. Perde caso a Moral do musicista seja zerada.","By clicking on the character banner, you will start a new game. Below the character's face, you'll find the name, followed by the level, and finally the amount of current experience and the amount needed to level up. The maximum level of the character is 10. You win if you defeat the Final Boss. You lose if the musician's Moral reaches zero."
HowToPlay.2,"Ao clicar, será listada as dicas de Teoria Musical (1). Ao clicar, será listado todos os inimigos (2). Ao clicar irá abrir os detalhes da dica (3).","By clicking, tips on Music Theory (1) will be displayed. By clicking will list all enemies (2). By clicking will open the details of the tip (3)."
HowToPlay.3,"Lista de Inimigos. Caso você não tenha encontrado o inimigo durante as partidas, ele irá aparecer como bloqueado.","List of Enemies. If you haven't encountered the enemy during the matches, it will appear as locked."
HowToPlay.4,"Nome do Inimigo (1). História do Inimigo (2). Atributos base do Inimigo (3). Ataques, Vantagens e Desvantagens do Inimigo (4) - informações desbloqueadas caso estes ocorram durante a partida.","Enemy Name (1). Enemy's Lore (2). Enemy's Base Attributes (3). Enemy's Attacks, Advantages, and Disadvantages (4) - information unlocked after it happened during the match."
HowToPlay.5,"Listagem de todos os Pergaminhos - para desbloquear você deve subir até determinado nível com as personagens. Ao clicar, irá abrir os detalhes do pergaminho (1).","List of all Scrolls - to unlock them, you must reach a certain level with the characters. Clicking will open the scroll details (1)."
HowToPlay.6,Nome do Pergaminho (1). Objetivo do Pergaminho (2) - para que o efeito ocorra. Efeito do Pergaminho(3). Quantidade de Mana necessária e tempo de espera para utilizar ele novamente (4).,Scroll's Name (1). Scroll's Objective (2) - for the effect to occur. Scroll's Effect (3). Amount of Mana required and Cooldown to use it again (4).
HowToPlay.7,Acessar o Menu de Pergaminhos (1). Acessar Partitura (2). Finalizar Turno (3). Pergaminhos Utilizados (4). Efeitos aplicados no musicista (5). Efeitos aplicados nos inimigos (6). Estado atual dos atributos do musicista - Moral e Mana (7).,Access Scroll Menu (1). Access Music Sheet (2). End Turn (3). Scrolls Casted (4). Effects Applied to the Musician (5). Effects Applied to Enemies (6). Current state of the musician's attributes - morale and mana (7).
HowToPlay.8,"Menu de Pergaminhos, ao clicar em um, irá abrir os detalhes.","Scroll Menu, by clicking on one, will open its details."
HowToPlay.9,"Usa o Pergaminho (1). O musicista só pode utilizar o pergaminho caso tenha Mana suficiente, se ainda não foi utilizado e se não está em estado ""Ocioso"". Um pergaminho entra em estado Ocioso após ser utilizado e permanece sem poder utilizar de acordo com seu tempo de espera. Alguns inimigos podem adicionar pergaminhos em estado Ocioso.","Cast Scroll (1). The musician can only use the scroll if they have enough Mana, if it hasn't been used yet, and if it's not in an ""Burned"" state. A scroll enters on Burned state after being casted and remains unable to be casted according to its cooldown. Some enemies may add scrolls to Burned state."
HowToPlay.10,"Com o ponteiro do mouse sob pergaminhos ou efeitos, poderá ser acessado os detalhes (1). Quando um pergaminho é utilizado, fatores aleatórios são escolhidos e apresentados nesse espaço. Para efeitos, será apresentado quantos turnos faltam para que estes sumam.","Hovering the mouse pointer over scrolls or effects will allow access to the details (1). When a scroll is used, random factors are chosen and presented in this space. For effects, it will be shown how many turns remain until they disappear."
HowToPlay.11,"Menu de Partitura, disponível para compor sua música a fim de enfrentar seus inimigos e cumprir os objetivos dos pergaminhos. Todas notações musicais impactam a Moral do inimigo com exceção das pausas. O número de compassos disponíveis dependerá do nível do musicista. Utilize a rolagem do mouse para alterar as notas que serão adicionadas e pressione em uma posição da partitura para adicionar a nota. Altere entre Claves pressionando no símbolo desta. Remove um compasso (1). Adiciona um compasso (2). Setas para navegar entre compassos (3). Fecha a partitura (4). Limpa tudo (5). Desfaz a última ação (6). Toca um Preview (7).","Music Sheet Menu, available to compose your music in order to face your enemies and accomplish the objectives of the scrolls. All musical notations impact enemies' Moral except for pauses. The number of available measures depends on the level of the musician. Use the mouse scroll to change the notes to be added and click on a position on the sheet music to add the note. Switch between Clefs by clicking on the symbol of the Clef. Remove a measure (1). Add a measure (2). Arrows to navigate between measures (3). Close the sheet music (4). Clear everything (5). Undo the last action (6). Preview (7)."
